header,author,date,place,content,aircraft,traveller_type,seat_type,route,date_flown,recommended,trip_verified,rating,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment,cleaned_aircraft
“the worst airline I've ever flown”,Solo Leisure,05/26/24,Israel," I fly a lot, but Emirates were my worst experiences ever. Most importantly, 2 out of 2 times I flew with them, I was delayed for multiple hours. The first time it was just sitting on the plane with no AC for 2 hours, and the second was 3+ hours, due to some trivial problem with their cabin lights. That 2nd time I had a connecting flight to catch, and while on board they assured me it would be fine, and while I did make it to the gate while they were still boarding, they refused to board me due to having apparently unilaterally decided to rebook me to a flight 11 hours later, assuming I wouldn't make it. Turns out there were earlier flights, but they wouldn't book me to them due to not codesharing with those airlines. Not only was no compensation offered for this day-long delay, but when I finally booked a separate flight on my own, they wouldn't even refund me, and had me request it on my own online. Overall they just showed 0 willingness to help throughout the entire process, despite it being 100% their fault, for a delay caused by them and between flights both of which they operated. They made it as painful as it possibly could be, every step of the way. Oh, and the flights themselves were also bad - old-looking airplanes, terrible food, and relatively limited entertainment. Emirates might have earned a positive reputation due to their First Class experience, but for Economy flights, it's probably the worst airline I've ever flown.",B777-300ER,Solo Leisure,Economy Class,Tokyo to Israel via Dubai,05/26/24,no,Trip Verified,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Boeing 777-300ER
"""Service was Friendly""",Solo Leisure,05/23/24,New Zealand,"   Returning from France, travelling in Economy to Dubai, then Premium Economy from Dubai to Auckland. First row in economy, so no one in front of me.  Service and meals were very good. Only 6 hours over night so decided not to sleep on this sector. Watched a couple of movies. The plane seemed on the older side, so movie selection not as good it seemed. Visited the lounge in Dubai due to my Emirates status, which was very good. Shower very welcome and good coffee. Flight to Auckland in Premium Economy a big step up from Economy. Seat very comfortable with loads of legroom, good recline and leg/foot rest. Slept for about 9 hours out of 15 hours. Service was friendly, professional and thorough buy a charming young British chap called Zak. Meals were delicious, hot towels etc. Entertainment was more extensive, although only watched 1 movie, as I wanted to sleep. Arrived half an hour early in Auckland. First off the plane and land side in less than 30 minutes. ",A380,Solo Leisure,Premium Economy,Paris to Auckland via Dubai,05/23/24,yes,Not Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""Seat quality was average""",Business,05/07/24,Bangladesh,"   Traveled from Dhaka to Lyon via Dubai in June 2023. Seat quality was average, food was also average, cabin crew were good. Ground services were slow. Flight was not bad but the layover at Dubai Airport was boring.",Boeing 777,Business,Economy Class,Dhaka to Lyon  via Dubai,05/07/24,yes,Trip Verified,6.0,1.0,3.0,3.0,2.0,3.0,3.0,Boeing 777-300ER
"""unfriendly and rude""",Solo Leisure,05/07/24,Ireland,"  I’ve flown Emirates a few times. I love the food but the flight attendants on all my flights were unfriendly and rude. Many of them are acting like they are doing us a favor by serving us, even though that’s their job. On May 5, I flew from Tokyo to Dubai and most likely it was my last flight with the Emirates. Especially a flight attendant who was very unfriendly and also skipped our line while serving food. She was unfriendly with everyone.  She seems to be hating her job. Apart from the flight attendants, one other thing I am not happy about is the delays. In my experience, Emirates never departs and arrives on time, there is always a delay. ",Boeing 777-300,Solo Leisure,Economy Class,Tokyo to Dubai,05/07/24,no,Trip Verified,2.0,5.0,1.0,5.0,4.0,2.0,5.0,Boeing 777-300ER
"""crew reflect good training""",Business,04/29/24,Saudi Arabia,"  Inbound flight to DXB was 16 years old A6-EWC 777-200 refurbished cabin which is comfortable. Cabin crew reflect good training, collaborative. Food is standard like others, did not use IFE during flight. Connected in Dubai for less than 30 minutes and disembarked to bus then terminal and surprisingly my luggage arrived to terminal destination.",Boeing 777,Business,Business Class,Barcelona to Dubai,04/29/24,yes,Trip Verified,7.0,5.0,5.0,3.0,4.0,4.0,,Boeing 777-300ER
"""Outdated seat""",Business,04/28/24,Saudi Arabia,"  Boarding fast despite seemingly full airplane. FA good and attentive. Departure delayed by 30 minutes. Outdated seat you need to press button 100 times to go to flat. Food quality is average. Internet not working, I have to spend time trying and trying. Bathrooms are clean however it was at the back of the airplane, front bathroom kept for first class, and every time i went i found 3-4 waiting, Toothbrush not available.",A380,Business,Business Class,Dubai to Barcelona,04/28/24,no,Trip Verified,6.0,1.0,5.0,2.0,2.0,2.0,2.0,A380-800
"""seat is comfortable""",Business,04/21/24,United Arab Emirates,"  Great airplane, service and staff, especially when flying on the A380 with the bar.  The seat is comfortable, crew is friendly and professional. The aircraft is clean. However the catering is a little disappointing. For such an expensive ticket I was expecting far better to be honest.",A380,Business,Business Class,Milan to Dubai,04/21/24,yes,Trip Verified,7.0,5.0,5.0,2.0,5.0,3.0,5.0,A380-800
"""Never fly Emirates again""",Business,04/21/24,Australia,"  True color of organisation is discovered when time of need arise, and Emirates capability is discovered. Never fly Emirates again, do not recommend anyone to travel on Emirates - you will be left to dry. I checked onto EK421 with a 20 kg checked bag on 18th March from Perth Airport. Arrived at Dubai airport on the 19th morning, as of today after 3 days of being me hostage at Dubai airport - there's no information from Emirates airport staff on anything, no worry about my dietary needs, my medical needs, sorry about my personal & business plan). I am not allowed to access my essential needs & medication from checked-bag and they would not put me on to my next connecting flight. At Dubai Airport Emirates staff directed me and others to continuously watch out for the Gate number on the screen as the flight would be listed there (but they won't tell when), I and others kept waiting for hours for the flight to appear, they appear without gates, stay listed there and then gets canceled. Clearly Emirates are just listing ghost flights so they don't need to provide a hotel. I am now on airport for more than 36 hours, no hotel provided, no vegetarian food available, I now almost three days in the same pair of clothing, and my medication & other essentials are in a checked-in bag that Emirates staff don't even care and tell me anything on when it will be returned to me. Their pretext that this is due to rain is just made up, as of last few days Dubai has returned to normal, for sure essential airport services there shouldn't be hold up and the excuse of weather event is just hiding their lack of management ability.",A380,Business,Economy Class,Australia to Dubai,04/21/24,no,Trip Verified,1.0,3.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""Horrible service from start to finish""",Solo Leisure,04/20/24,France,  Horrible service from start to finish. 6 hours delay. No communication. Unable ground staff and very rude. Lost baggage. I could spend hours making list of the problems. Will definitely change airline.,A380,Solo Leisure,Economy Class,Dubai to Nice,04/20/24,no,Trip Verified,1.0,3.0,4.0,3.0,1.0,1.0,4.0,A380-800
"""situation is getting worse""",Business,04/20/24,United Arab Emirates,"   After some disruption in Dubai airport due to a storm, Emirates seems not to recover. The situation is getting worse and day by day more flights are cancelled and more luggage lost. Emirates has lost it completely and the management of Emirates is not putting all what it takes to go back on track. After 11 years of flying Emirates as platinum member I am evaluating the possibility of moving to Qatar airways or even Etihad. Emirates has wonderful inflight service but the lack of professionalism of the ground staff is killing the company",A380,Business,Business Class,Paris to Dubai,04/20/24,no,Not Verified,3.0,4.0,5.0,5.0,1.0,1.0,5.0,A380-800
“the most terrible experience”,Solo Leisure,02/28/24,United States," Every step of the travel, I found harassment, terrible customer support, and absolutely no help. I am treated like an economy class customer in all aspects. Check-in: 1. Rude arrogant check in staff at SFO: refused to accommodate a box that exceeded 59 inches though far underweight than half of 70 kgs allowed. Arrogant staff refused to ever entertain my request as the app clearly mentioned that I could take up to 115 inches, without mentioning additional cost over 59 inches. 2. Reached DXB. At the gate, someone came over with my name and he was not aware of hotel option despite mentioning that I received it in my last trip. When I finally approach Terminal 3 First class lounge, they gave me hotel voucher after a lot of time. Even lounge front desk didn't have that information. 3. The lounge front desk refused to help me get to chauffeur service, didn't tell me 'EXACT' steps on how to reach Arrivals. It was the most terrible experience for someone going there for the first time. The desk that manages Chauffer service was incompetent and provided inaccurate gate info where I could get car to hotel. All this exercise took 1.5 hours, eating up on my plans to go out to the city. 4. When I checked back in the following day, 27th Feb, the second bag was not loaded despite being first class, despite paying for it and despite 19 hours of transit. When I landed and waited for it at carousel, app displayed delayed bag with PIR info. 5. Apparently the customer service agents pretended that they cannot get my contact details to update the baggage claim report/PIR and kept blaming me for it. They knew the flight I was in, the bag number and access to my profile, but kept saying that they can't update me because I didn't provide phone number and email address, both were there in my Emirates profile long before my travel date. 6. No communication on missed bag despite repeated contacts with customer support. Emirates has provided the worst travel experience all around in spite of paying for first class and for additional baggage. This is my last trip with Emirates and request everyone to not waste their money/miles on Emirates. You will always hit a wall in getting somethin we think is customer service. There will be no help, no customer support, no sensitivity or understanding. All I experienced is arrogant highhandedness, no respect for customers.",A380,Solo Leisure,First Class,San Francisco to Hyderabad via Dubai ,02/28/24,no,Trip Verified,2.0,4.0,4.0,3.0,1.0,1.0,5.0,A380-800
"""a very comfortable flight""",Couple Leisure,02/21/24,Australia,"  Booked flight on Emirates website but first part of journey was from regional Australia with Qantas flight. Luggage checked all way through to Dubai so did not have to transfer it at Brisbane. Checked in on line and when arrived in Brisbane the customer service was very good allowing us to change seats to back of plane as was not a full flight so had 3 seats for 2 passengers, a very comfortable flight and the cabin crew bringing around drinks between meal service. Arrived Safely in Dubai on time.",A380,Couple Leisure,Economy Class,Brisbane to Dubai,02/21/24,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
“A real disappointment”,Solo Leisure,02/12/24,Italy,"  A real disappointment. Emirates costs 25% more than Etihad or Qatar for the same route, but the service was bad. First flight was 2,5 hours late. The seat I selected was reassigned by the system and no explanations were given at the counter. Return flight was 1 hour late. Online check in system was down for two days and I could not select a seat (getting a terrible one location at the check-in counter). Guess this is my last time with Emirates, since there are cheaper and better performing options on the same route.",A380,Solo Leisure,Economy Class,Milan to Bangkok via Dubai,02/12/24,no,Not Verified,2.0,1.0,4.0,3.0,2.0,2.0,4.0,A380-800
"""older planes on this route""",Solo Leisure,02/11/24,United Kingdom,"  I flew the same route last year, and it is obvious that Emirates are using older planes on this route. Screens do not stay in place and no usb port at seat. Food was acceptable and crew friendly. More modern aircraft would improve the experience.",Boeing 777,Solo Leisure,Economy Class,Dubai to Cape Town,02/11/24,yes,Not Verified,8.0,3.0,4.0,4.0,4.0,4.0,4.0,Boeing 777-300ER
"""cannot fault them""",Solo Leisure,01/19/24,South Africa,"  I have just completed a trip Johannesburg to Dallas via Dubai, returning from LAX, and cannot fault them in any way. All flights were on time, staffed by efficient, courteous staff and seats were extremely comfortable. In addition, the other services afforded by Emirates for Business Class passengers - a) the chauffeur service, which I used twice, and b) the promise of a hotel room if your layover is longer than 6 hours - mine was 9 hours - worked extremely efficiently, and I was housed at a top class hotel.",777 A380,Solo Leisure,Business Class,Johannesburg to Dallas via Dubai,01/19/24,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,777 A380
"""very dissatisfied""",Solo Leisure,01/08/24,New Zealand,  The seat pockets were ripped and I was unable to store anything. When I used the tray my drink slid off bec the tray was unstable. I mentioned it to the staff but they acted like they didn't know what I was talking about. I used to regards Emirates as tops but very dissatisfied. Every aircraft was quite poor except the CPT/DXB and that was because I slept for the entire flight.,A380,Solo Leisure,Economy Class,Auckland to Cape Town via Dubai ,01/08/24,no,Trip Verified,3.0,2.0,2.0,2.0,3.0,2.0,2.0,A380-800
"""absolutely miserable experience""",Solo Leisure,12/25/23,Canada,"  I took 4 flights with Emirates and it was an absolutely miserable experience. You get more leg room on an AirAsia flight, the food tastes like garbage. And the rudest possible employees you can imagine. I have absolutely nothing positive to say about this airline. Avoid at all cost. Just pay a bit more for a better airline.",Boeing 777-200,Solo Leisure,Economy Class,Montreal to Kuala Lumpur via Dubai,12/25/23,no,Trip Verified,1.0,1.0,1.0,1.0,3.0,1.0,3.0,Boeing 777 200
“won't be travelling with Emirates”,Solo Leisure,12/22/23,United Kingdom," Following up to my previous review """"worst customer service"" 1 reviews J Deene (United Kingdom) 13th December 2023"" I'd thought I would update you on the progress of my complaint Thomas of Emirates Customer Services has been very unhelpful. Of having allergy/food issues heading to Tokyo Narita, I had the same going back plus 12 hours with a broken seat, no ICE Entertainment system and cabin crew unable to move me to another seat, however moved 3 others with no problems. (NRT-DXB EK318 25TH November 2023). I also got cellulitis on the the outbound journey the week earlier due to the issues onboard which DID affect my holiday a dream holiday I saved all year, the flight cost 90% of the money I paid, in the numerous email Thomas of Emirates Customer Service was unwilling to admit responsibility onboard was let down. Those food issue allergies that I told the airline in many months before the actual holiday. The Japanese holiday I am hoping to do every year, 2024 or 2025 won't be with Emirates they have shown lack of care, remember , ONLY caring for one thing the money you have in your bank account. For someone who won't be travelling with Emirates, Thomas of customer services decided 10000 skywards points is ""reasonable"".",A380,Solo Leisure,Economy Class,Glasgow to Narita via Dubai,12/22/23,no,Trip Verified,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A380-800
"""worst customer service""",Solo Leisure,12/13/23,United Kingdom,"  I was travelling to Tokyo Narita via Dubai. In 2022 I had the meal issues on return journey from NRT To DXB when they could only offer a meal with items I have bad allergies to, Then second meal Cabin Crew forgot to offer, wouldn't give any water on 12.5 hour flight. for the recent one I contacted Emirates Customer Service that I have allergies for fish, mushroom and wholemeal, Customer service rep said ""bring your own food then and the crew will heat them up"" I said it will be taken off me at security at Glasgow if not Dubai"" he said no, the day came food was taken off me at Security at Glasgow. As backup they booked me a bland meal that wouldn't contain my allergies on DXB to NRT section (GLA-DXB meals were fine) which was Mushroom and second meal fish and mushroom. Which meant no food just a tiny bottle of water. I'm already worried about the return flights and worries were confirmed when once again meals offered with allergy items, Cabin crew I'll give credit concerned, very little food and water. Not just that my seat was broke, headphones broke and the so called ICE entertainment system wouldn't work, 12 hours nothing to do and crew couldn't move as they already moved others with similar problem, couldn't move myself. I recently got a response from Customer Service ""out of their control"" and one the flight cabin also said they would have refused the my own food and I wouldn't have gotten anything through Dubai for second flight. 2024 and 2025 holidays won't be with Emirates. Emirates are one of the worst customer service experiences.",A380,Solo Leisure,Economy Class,Glasgow to Narita via Dubai,12/13/23,no,Trip Verified,1.0,1.0,3.0,1.0,3.0,1.0,1.0,A380-800
“exceptional service”,Business,12/12/23,Canada," I was compelled to write a review for an airline because of the exceptional service I got from the whole team of the cabin crew. It was more of a great experience rather than a journey. Right from the entrance to the aircraft I was treated like a beloved family member who came to see the family after years by every staff member. Every single request was taken seriously and was addressed to the best of the availability. I felt that I was the only special passenger for them, they were super nice and highly empathetic in their body language. The air hostess assigned to my area was asking me every single time she passed by me with a great smile if all was good. When you enter the lounge you are greeted with super smiles, if you ask them something they come close to you holding shoulders to show attachment. They were all super devoted to their work, full of energy and trying to help everyone as much they can. I am a frequent flyer of Emirates, though the maintenance inside aircraft has compromised that fresh and modern look but their crew members compensated that by miles. My special thanks and 7 star to every single staff member in the busines class cabin.",A380,Business,Business Class,Toronto to Dubai,12/12/23,yes,Trip Verified,9.0,3.0,5.0,4.0,5.0,4.0,4.0,A380-800
"""Cabin crew helpful""",Solo Leisure,12/07/23,Saudi Arabia,"  Check in and boarding was fast. Aircraft is 15 years old but clean and well maintained. Bathroom is clean and bvulgari was supplied. Cabin crew helpful, communicative and offer help, food, or drink. Departure on time and arrival early. I realized why Emirates is more expensive than others.",Boeing 772,Solo Leisure,Business Class,Barcelona to Dubai,12/07/23,yes,Trip Verified,9.0,5.0,5.0,5.0,5.0,4.0,5.0,Boeing 772
“Comfortable seats”,Solo Leisure,11/28/23,Germany,"  Emirates is always a good choice. Comfortable seats with a large seat pitch and good entertainment program. The on-board catering is good and sufficient. Check-in was extremely quick and the flight was on time. Only the on-board staff seemed annoyed on all flights and, accordingly, the speed and type of service was somewhat disappointing. The ticket prices are high but for a good airline worse to pay.",A380-800 / Boeing 777-300,Solo Leisure,Economy Class,Frankfurt to Colombo via Dubai,11/28/23,yes,Trip Verified,9.0,5.0,4.0,5.0,5.0,4.0,5.0,A380-800
“team were inexperienced”,Family Leisure,11/28/23,United Kingdom,"  When is extra leg room, extra leg room. 11 of us travelled on Emirates from Bham to Dubai/Sydney 28 October 23 and returned 16 Nov back into Bham EK0039 flight. We paid for extra leg room seats 80J K H so that we could relax and have sleep on the long journeys ahead of us. On 3 of the trips the air stewards were respectful of our space, given we were next to where they served the food and drinks with their trolleys. They were all quiet during the long flights once drinks and food had been served so myself, husband and son could sleep. However, on the flight from Dubai to Bham this could not be a worse experience if Emirates tried. The team were inexperienced (bar one professional) one of them swearing so we could hear F""** word as the curtains were left open, explaining what she required in men. The food and drinks trolley was left next to my husband within an inch of his feet so they stepped over him each time, apologising for waking him up over the next 3 hours. A team of 6 stood in our area having a meeting. After 4 hours into the 8 hr flight, I politely asked if they could move the trolley so we were not disturbed and it was really disrespectful given we had paid extra for the seat. The deputy and mgr came to see us to apologise and talk to their team and moved the trolley. I showed the mgr a picture. The mgr took my phone and email details to formally respond, but 9 days later still no response. Very disappointing, given 11 of us travelled. The previous 3 flights were really good.",A380,Family Leisure,Economy Class,Sydney to Birmingham ,11/28/23,no,Not Verified,2.0,1.0,2.0,5.0,4.0,1.0,5.0,A380-800
“no request was too much for the crew”,Solo Leisure,11/09/23,United States, This was a short but wonderful fifth freedom ride with Emirates. Despite the fairly short (just under 3 hours) flight Emirates was at the top of their game. Most of what I experienced has been documented many times but the personalized service I received was notable. A delicious meal was artfully served and no request was too much for the crew. A quick walk back to the lounge shared with business class was fun including light conversation with the bartender. Flight was on time and the mounted cameras were a fun way to watch the landing.,A380,Solo Leisure,First Class,Christchurch to Sydney,11/09/23,yes,Trip Verified,10.0,5.0,5.0,5.0,5.0,5.0,5.0,A380-800
"""Relatively uneventful flights""",Couple Leisure,11/09/23,Australia,"  BNE-DXB-MAN on 4th & 5th Oct (EK435/EK017) and MAN-DXB-BNE on 19th & 20th Oct (EK020/EK434). All 4 flights in A380s, 3 in seating zone F and 1 in zone B. Seats relatively comfortable and cabin service OK but struggled to find something interesting to watch on IFE on all 4 sectors - that's why I always travel with a book - although watching Newcastle Utd hammer PSG at St James' Park live was a bonus on BNE-DXB sector. Unfortunately there was no wifi or ""live"" TV coverage on DXB-BNE return sector for which the crew apologised before departing DXB. Relatively uneventful flights that arrived & departed pretty much on time other than a 1hr delay on take off from DXB on final leg - pushed back from gate on time but held on ground for an hour due to ATC ""traffic"". Emirates actually provide a good ""one stop"" service from the east coast of Australia to Europe but the 14hr legs to & from DXB can be a struggle. Overall 7/10 and I would use again.",A380,Couple Leisure,Economy Class,Brisbane to Manchester via Dubai,11/09/23,yes,Trip Verified,7.0,4.0,4.0,3.0,4.0,3.0,3.0,A380-800
"""crew were inattentive and disinterested""",Couple Leisure,10/31/23,United Kingdom,"  I've always loved the Emirates A380 as a comfortable plane to fly but the Business Class cabin is simply too big for the crew and galley capacity, This was a late night departure from LHR where many passengers skipped the meal in favour of sleep, yet for those of us wishing to dine, it took over three hours to complete the service. The crew were inattentive and disinterested, just bringing up a course and then disappearing until they brought the next. It was Economy service with only slightly better food. The smaller cabin in the 777 leg was better service but a much poorer cabin experience. Very difficult in the middle seats, to relax and watch a film when your screen is right next to your neighbour's.",A380 / Boeing 777,Couple Leisure,Business Class,London Heathrow to Phuket via Dubai,10/31/23,no,Not Verified,6.0,4.0,2.0,2.0,4.0,3.0,2.0,A380-800
"""It’s price rigging""",Business,10/27/23,United Kingdom,"  I couldn’t get a business saver so had to opt for more expensive business flex flight. I needed to book in August to use my airmiles. Lo and behold the saver tickets were released a week later making the price £600 cheaper. Emirates refuse to help, their excuse was all these people of 8 different flights had cancelled, therefore making the business saver available! It’s price rigging. Get everyone to buy the more expensive price, then sell the cheaper ones. They are a great airline until anything goes wrong. I can rebook the cheaper flight but it costs me £500 to cancel. Last time I will ever fly with them. ",A380,Business,Business Class,Singapore to Manchester via Dubai,10/27/23,no,Trip Verified,1.0,4.0,3.0,,1.0,1.0,,A380-800
"""My only suitcase didn't arrive""",Couple Leisure,10/18/23,United States," Emirates is an excellent airline, Excellent planes, excellent service, however, they should know that they are servicing all kind of people. On my flight they served Indian food only, when asked why can't I get other kind of food, I was told the this route serves about 65 percent Indian customers, what about the other 35 percent, I asked, got no answer or simply, they can go to hell. My only suitcase didn't arrive With me at my final distinction, they forgot it in Dubai, this is not the Emirates that was 10 years ago, it shouldn't use the logo ""fly better"" it should now have another logo that say ""Lose weight while flying Emirates"" since you will not eat for 36 hours on your round trip",Boeing 777-300,Couple Leisure,Economy Class,Miami to Medina via Dubai,10/18/23,no,Not Verified,7.0,5.0,5.0,,1.0,1.0,3.0,Boeing 777-300ER
